04906      //Pixel 0: 2.852478e-01
0314D      //Pixel 699: 1.925812e-01
02F54      //Pixel 700: 1.848755e-01
02C1D      //Pixel 701: 1.723175e-01
02947      //Pixel 702: 1.612396e-01
026C4      //Pixel 703: 1.514282e-01
01DB4      //Pixel 704: 1.160278e-01
020A6      //Pixel 705: 1.275330e-01
025FF      //Pixel 706: 1.484222e-01
02AAB      //Pixel 707: 1.666718e-01
02D7F      //Pixel 708: 1.777191e-01
030B8      //Pixel 709: 1.903076e-01
03396      //Pixel 710: 2.015076e-01
0358E      //Pixel 711: 2.091980e-01
036D9      //Pixel 712: 2.142487e-01
0395D      //Pixel 713: 2.240753e-01
039D4      //Pixel 714: 2.258911e-01
03953      //Pixel 715: 2.239227e-01
0371E      //Pixel 716: 2.153015e-01
0371A      //Pixel 717: 2.152405e-01
00000      //Pixel 718: 0
00000      //Pixel 719: 0
00000      //Pixel 720: 0
00000      //Pixel 721: 0
00000      //Pixel 722: 0
00000      //Pixel 723: 0
00000      //Pixel 724: 0
00000      //Pixel 725: 0
00000      //Pixel 726: 0
00000      //Pixel 727: 0
01813      //Pixel 728: 9.403992e-02
030BF      //Pixel 729: 1.904144e-01
03098      //Pixel 730: 1.898193e-01
02E96      //Pixel 731: 1.819763e-01
02BFC      //Pixel 732: 1.718140e-01
029D9      //Pixel 733: 1.634674e-01
0272E      //Pixel 734: 1.530457e-01
02479      //Pixel 735: 1.424713e-01
01A81      //Pixel 736: 1.035309e-01
01E87      //Pixel 737: 1.192474e-01
023BB      //Pixel 738: 1.395721e-01
0274C      //Pixel 739: 1.535034e-01
02ADA      //Pixel 740: 1.673889e-01
02DF7      //Pixel 741: 1.795502e-01
030EE      //Pixel 742: 1.911316e-01
0333E      //Pixel 743: 2.001648e-01
03530      //Pixel 744: 2.077637e-01
0368B      //Pixel 745: 2.130585e-01
036DE      //Pixel 746: 2.143250e-01
0368C      //Pixel 747: 2.130737e-01
034F5      //Pixel 748: 2.068634e-01
03327      //Pixel 749: 1.998138e-01
00000      //Pixel 750: 0
00000      //Pixel 751: 0
00000      //Pixel 752: 0
00000      //Pixel 753: 0
00000      //Pixel 754: 0
00000      //Pixel 755: 0
00000      //Pixel 756: 0
00000      //Pixel 757: 0
00000      //Pixel 758: 0
00000      //Pixel 759: 0
012E6      //Pixel 760: 7.382202e-02
02F41      //Pixel 761: 1.845856e-01
02E4C      //Pixel 762: 1.808472e-01
02C94      //Pixel 763: 1.741333e-01
02A69      //Pixel 764: 1.656647e-01
02749      //Pixel 765: 1.534576e-01
0246A      //Pixel 766: 1.422424e-01
02235      //Pixel 767: 1.336212e-01
01844      //Pixel 768: 9.478760e-02
01B5F      //Pixel 769: 1.069183e-01
020A5      //Pixel 770: 1.275177e-01
02408      //Pixel 771: 1.407471e-01
02799      //Pixel 772: 1.546783e-01
02A72      //Pixel 773: 1.658020e-01
02D77      //Pixel 774: 1.775970e-01
03011      //Pixel 775: 1.877594e-01
0322A      //Pixel 776: 1.959534e-01
033CF      //Pixel 777: 2.023773e-01
03541      //Pixel 778: 2.080231e-01
0352A      //Pixel 779: 2.076721e-01
0343F      //Pixel 780: 2.040863e-01
0335B      //Pixel 781: 2.006073e-01
01972      //Pixel 782: 9.939575e-02
00000      //Pixel 783: 0
00000      //Pixel 784: 0
00000      //Pixel 785: 0
00000      //Pixel 786: 0
00000      //Pixel 787: 0
00000      //Pixel 788: 0
00000      //Pixel 789: 0
00000      //Pixel 790: 0
00000      //Pixel 791: 0
00C9A      //Pixel 792: 4.922485e-02
02C96      //Pixel 793: 1.741638e-01
02C58      //Pixel 794: 1.732178e-01
02A82      //Pixel 795: 1.660461e-01
02714      //Pixel 796: 1.526489e-01
0241E      //Pixel 797: 1.410828e-01
021D9      //Pixel 798: 1.322174e-01
01F95      //Pixel 799: 1.233673e-01
01518      //Pixel 800: 8.239746e-02
0188A      //Pixel 801: 9.585571e-02
01DF7      //Pixel 802: 1.170502e-01
0219C      //Pixel 803: 1.312866e-01
023DC      //Pixel 804: 1.400757e-01
026C8      //Pixel 805: 1.514893e-01
02A43      //Pixel 806: 1.650848e-01
02D31      //Pixel 807: 1.765289e-01
02E79      //Pixel 808: 1.815338e-01
03092      //Pixel 809: 1.897278e-01
03256      //Pixel 810: 1.966248e-01
032F5      //Pixel 811: 1.990509e-01
03227      //Pixel 812: 1.959076e-01
02F22      //Pixel 813: 1.841125e-01
02CF2      //Pixel 814: 1.755676e-01
00000      //Pixel 815: 0
00000      //Pixel 816: 0
00000      //Pixel 817: 0
00000      //Pixel 818: 0
00000      //Pixel 819: 0
00000      //Pixel 820: 0
00000      //Pixel 821: 0
00000      //Pixel 822: 0
00000      //Pixel 823: 0
001E9      //Pixel 824: 7.461548e-03
02926      //Pixel 825: 1.607361e-01
0287C      //Pixel 826: 1.581421e-01
025BD      //Pixel 827: 1.474152e-01
0236E      //Pixel 828: 1.383972e-01
02128      //Pixel 829: 1.295166e-01
01F05      //Pixel 830: 1.211700e-01
01D47      //Pixel 831: 1.143646e-01
010E9      //Pixel 832: 6.605530e-02
0159C      //Pixel 833: 8.441162e-02
01C21      //Pixel 834: 1.098785e-01
01ECD      //Pixel 835: 1.203156e-01
0216F      //Pixel 836: 1.306000e-01
02483      //Pixel 837: 1.426239e-01
0267B      //Pixel 838: 1.503143e-01
028C9      //Pixel 839: 1.593170e-01
02BB9      //Pixel 840: 1.707916e-01
02DD8      //Pixel 841: 1.790771e-01
02F63      //Pixel 842: 1.851044e-01
030A6      //Pixel 843: 1.900330e-01
03004      //Pixel 844: 1.875610e-01
02E29      //Pixel 845: 1.803131e-01
02CEE      //Pixel 846: 1.755066e-01
00000      //Pixel 847: 0
00000      //Pixel 848: 0
00000      //Pixel 849: 0
00000      //Pixel 850: 0
00000      //Pixel 851: 0
00000      //Pixel 852: 0
00000      //Pixel 853: 0
00000      //Pixel 854: 0
00000      //Pixel 855: 0
00000      //Pixel 856: 0
02535      //Pixel 857: 1.453400e-01
02527      //Pixel 858: 1.451263e-01
022EE      //Pixel 859: 1.364441e-01
01F4D      //Pixel 860: 1.222687e-01
01CCF      //Pixel 861: 1.125336e-01
01B1E      //Pixel 862: 1.059265e-01
018F2      //Pixel 863: 9.744263e-02
00D9B      //Pixel 864: 5.314636e-02
010F7      //Pixel 865: 6.626892e-02
017FD      //Pixel 866: 9.370422e-02
01C46      //Pixel 867: 1.104431e-01
01FC7      //Pixel 868: 1.241302e-01
02219      //Pixel 869: 1.331940e-01
024AC      //Pixel 870: 1.432495e-01
025D6      //Pixel 871: 1.477966e-01
027AF      //Pixel 872: 1.550140e-01
029C5      //Pixel 873: 1.631622e-01
02B8A      //Pixel 874: 1.700745e-01
02CAD      //Pixel 875: 1.745148e-01
02CA0      //Pixel 876: 1.743164e-01
02B71      //Pixel 877: 1.696930e-01
029C8      //Pixel 878: 1.632080e-01
00000      //Pixel 879: 0
00000      //Pixel 880: 0
00000      //Pixel 881: 0
00000      //Pixel 882: 0
00000      //Pixel 883: 0
00000      //Pixel 884: 0
00000      //Pixel 885: 0
00000      //Pixel 886: 0
00000      //Pixel 887: 0
00000      //Pixel 888: 0
020F6      //Pixel 889: 1.287537e-01
0211C      //Pixel 890: 1.293335e-01
01F06      //Pixel 891: 1.211853e-01
01CE8      //Pixel 892: 1.129150e-01
01B00      //Pixel 893: 1.054688e-01
0186D      //Pixel 894: 9.541321e-02
01625      //Pixel 895: 8.650208e-02
00A2E      //Pixel 896: 3.976440e-02
00E2D      //Pixel 897: 5.537415e-02
0140E      //Pixel 898: 7.833862e-02
0183F      //Pixel 899: 9.471130e-02
01B87      //Pixel 900: 1.075287e-01
01DBB      //Pixel 901: 1.161346e-01
02021      //Pixel 902: 1.255035e-01
022C2      //Pixel 903: 1.357727e-01
024EB      //Pixel 904: 1.442108e-01
026AF      //Pixel 905: 1.511078e-01
02855      //Pixel 906: 1.575470e-01
02889      //Pixel 907: 1.583405e-01
0289B      //Pixel 908: 1.586151e-01
02858      //Pixel 909: 1.575928e-01
02901      //Pixel 910: 1.601715e-01
01FA7      //Pixel 911: 1.236420e-01
00000      //Pixel 912: 0
00000      //Pixel 913: 0
00000      //Pixel 914: 0
00000      //Pixel 915: 0
00000      //Pixel 916: 0
00000      //Pixel 917: 0
00000      //Pixel 918: 0
00000      //Pixel 919: 0
00000      //Pixel 920: 0
01D76      //Pixel 921: 1.150818e-01
01D86      //Pixel 922: 1.153259e-01
01C25      //Pixel 923: 1.099396e-01
01A04      //Pixel 924: 1.016235e-01
017B5      //Pixel 925: 9.260559e-02
014EC      //Pixel 926: 8.172607e-02
01288      //Pixel 927: 7.238770e-02
00587      //Pixel 928: 2.159119e-02
00A64      //Pixel 929: 4.058838e-02
011FC      //Pixel 930: 7.025146e-02
01511      //Pixel 931: 8.229065e-02
01886      //Pixel 932: 9.579468e-02
01AF7      //Pixel 933: 1.053314e-01
01D5E      //Pixel 934: 1.147156e-01
01F6C      //Pixel 935: 1.227417e-01
0218C      //Pixel 936: 1.310425e-01
02317      //Pixel 937: 1.370697e-01
02486      //Pixel 938: 1.426697e-01
02512      //Pixel 939: 1.448059e-01
02521      //Pixel 940: 1.450348e-01
0245D      //Pixel 941: 1.420441e-01
02234      //Pixel 942: 1.336060e-01
024BF      //Pixel 943: 1.435394e-01
00000      //Pixel 944: 0
00000      //Pixel 945: 0
00000      //Pixel 946: 0
00000      //Pixel 947: 0
00000      //Pixel 948: 0
00000      //Pixel 949: 0
00000      //Pixel 950: 0
00000      //Pixel 951: 0
00000      //Pixel 952: 0
0189B      //Pixel 953: 9.611511e-02
018A3      //Pixel 954: 9.623718e-02
01813      //Pixel 955: 9.403992e-02
0168F      //Pixel 956: 8.811951e-02
01440      //Pixel 957: 7.910156e-02
0114A      //Pixel 958: 6.753540e-02
00F5D      //Pixel 959: 6.001282e-02
0023E      //Pixel 960: 8.758545e-03
00673      //Pixel 961: 2.519226e-02
00E2C      //Pixel 962: 5.535889e-02
010FC      //Pixel 963: 6.634521e-02
013E1      //Pixel 964: 7.765198e-02
016D7      //Pixel 965: 8.921814e-02
01956      //Pixel 966: 9.896851e-02
01A92      //Pixel 967: 1.037903e-01
01CA7      //Pixel 968: 1.119232e-01
01E63      //Pixel 969: 1.186981e-01
02000      //Pixel 970: 1.250000e-01
02102      //Pixel 971: 1.289368e-01
02166      //Pixel 972: 1.304626e-01
02072      //Pixel 973: 1.267395e-01
01DF3      //Pixel 974: 1.169891e-01
01E83      //Pixel 975: 1.191864e-01
00000      //Pixel 976: 0
00000      //Pixel 977: 0
00000      //Pixel 978: 0
00000      //Pixel 979: 0
00000      //Pixel 980: 0
00000      //Pixel 981: 0
00000      //Pixel 982: 0
00000      //Pixel 983: 0
00000      //Pixel 984: 0
01268      //Pixel 985: 7.189941e-02
013EA      //Pixel 986: 7.778931e-02
01350      //Pixel 987: 7.543945e-02
0119D      //Pixel 988: 6.880188e-02
00FEF      //Pixel 989: 6.224060e-02
00E3E      //Pixel 990: 5.563354e-02
00B2A      //Pixel 991: 4.360962e-02
00000      //Pixel 992: 0
00342      //Pixel 993: 1.272583e-02
00A2E      //Pixel 994: 3.976440e-02
00DBB      //Pixel 995: 5.363464e-02
01014      //Pixel 996: 6.280518e-02
01267      //Pixel 997: 7.188416e-02
014B2      //Pixel 998: 8.084106e-02
016BB      //Pixel 999: 8.879089e-02
018A4      //Pixel 1000: 9.625244e-02
01A48      //Pixel 1001: 1.026611e-01
01B59      //Pixel 1002: 1.068268e-01
01B57      //Pixel 1003: 1.067963e-01
01C1F      //Pixel 1004: 1.098480e-01
01C99      //Pixel 1005: 1.117096e-01
01A78      //Pixel 1006: 1.033936e-01
0164C      //Pixel 1007: 8.709717e-02
01381      //Pixel 1008: 7.618713e-02
00000      //Pixel 1009: 0
00000      //Pixel 1010: 0
00000      //Pixel 1011: 0
00000      //Pixel 1012: 0
00000      //Pixel 1013: 0
00000      //Pixel 1014: 0
00000      //Pixel 1015: 0
00000      //Pixel 1016: 0
00431      //Pixel 1017: 1.637268e-02
00E6D      //Pixel 1018: 5.635071e-02
00E32      //Pixel 1019: 5.545044e-02
00CEF      //Pixel 1020: 5.052185e-02
00B90      //Pixel 1021: 4.516602e-02
00983      //Pixel 1022: 3.715515e-02
00727      //Pixel 1023: 2.793884e-02
