0C7C7      //Pixel 0: 7.803802e-01
07F7F      //Pixel 611: 4.980316e-01
07D7D      //Pixel 612: 4.901886e-01
0D2D2      //Pixel 613: 8.235168e-01
0F5F5      //Pixel 614: 9.607697e-01
0F5F5      //Pixel 615: 9.607697e-01
0F4F4      //Pixel 616: 9.568481e-01
0F5F5      //Pixel 617: 9.607697e-01
0B8B8      //Pixel 618: 7.215576e-01
07676      //Pixel 619: 4.627380e-01
07979      //Pixel 620: 4.745026e-01
06D6D      //Pixel 621: 4.274445e-01
0C7C7      //Pixel 622: 7.803802e-01
0EFEF      //Pixel 623: 9.372406e-01
0EDED      //Pixel 624: 9.293976e-01
0EDED      //Pixel 625: 9.293976e-01
0ECEC      //Pixel 626: 9.254761e-01
0EAEA      //Pixel 627: 9.176331e-01
0E9E9      //Pixel 628: 9.137115e-01
0E8E8      //Pixel 629: 9.097900e-01
0E6E6      //Pixel 630: 9.019470e-01
0E4E4      //Pixel 631: 8.941040e-01
0E3E3      //Pixel 632: 8.901825e-01
0E1E1      //Pixel 633: 8.823395e-01
0E0E0      //Pixel 634: 8.784180e-01
0DFDF      //Pixel 635: 8.744965e-01
0DCDC      //Pixel 636: 8.627319e-01
0DBDB      //Pixel 637: 8.588104e-01
0D9D9      //Pixel 638: 8.509674e-01
0D8D8      //Pixel 639: 8.470459e-01
0D0D0      //Pixel 640: 8.156738e-01
0D2D2      //Pixel 641: 8.235168e-01
0D3D3      //Pixel 642: 8.274384e-01
0D4D4      //Pixel 643: 8.313599e-01
0D7D7      //Pixel 644: 8.431244e-01
0DDDD      //Pixel 645: 8.666534e-01
0DFDF      //Pixel 646: 8.744965e-01
0E1E1      //Pixel 647: 8.823395e-01
0E4E4      //Pixel 648: 8.941040e-01
0E6E6      //Pixel 649: 9.019470e-01
0E7E7      //Pixel 650: 9.058685e-01
0E8E8      //Pixel 651: 9.097900e-01
0E9E9      //Pixel 652: 9.137115e-01
0EAEA      //Pixel 653: 9.176331e-01
0EBEB      //Pixel 654: 9.215546e-01
0EEEE      //Pixel 655: 9.333191e-01
0EFEF      //Pixel 656: 9.372406e-01
0F0F0      //Pixel 657: 9.411621e-01
0F0F0      //Pixel 658: 9.411621e-01
0F1F1      //Pixel 659: 9.450836e-01
0F1F1      //Pixel 660: 9.450836e-01
0F2F2      //Pixel 661: 9.490051e-01
0F3F3      //Pixel 662: 9.529266e-01
0F3F3      //Pixel 663: 9.529266e-01
0F5F5      //Pixel 664: 9.607697e-01
0F5F5      //Pixel 665: 9.607697e-01
0F5F5      //Pixel 666: 9.607697e-01
0F6F6      //Pixel 667: 9.646912e-01
0DBDB      //Pixel 668: 8.588104e-01
09898      //Pixel 669: 5.960693e-01
09999      //Pixel 670: 5.999908e-01
0E2E2      //Pixel 671: 8.862610e-01
0F5F5      //Pixel 672: 9.607697e-01
0B2B2      //Pixel 673: 6.980286e-01
07070      //Pixel 674: 4.392090e-01
08686      //Pixel 675: 5.254822e-01
07B7B      //Pixel 676: 4.823456e-01
0BDBD      //Pixel 677: 7.411652e-01
0F6F6      //Pixel 678: 9.646912e-01
0F5F5      //Pixel 679: 9.607697e-01
0F5F5      //Pixel 680: 9.607697e-01
0F5F5      //Pixel 681: 9.607697e-01
0B7B7      //Pixel 682: 7.176361e-01
07A7A      //Pixel 683: 4.784241e-01
07F7F      //Pixel 684: 4.980316e-01
06C6C      //Pixel 685: 4.235229e-01
0BEBE      //Pixel 686: 7.450867e-01
0F0F0      //Pixel 687: 9.411621e-01
0EEEE      //Pixel 688: 9.333191e-01
0EDED      //Pixel 689: 9.293976e-01
0ECEC      //Pixel 690: 9.254761e-01
0EBEB      //Pixel 691: 9.215546e-01
0EAEA      //Pixel 692: 9.176331e-01
0E9E9      //Pixel 693: 9.137115e-01
0E7E7      //Pixel 694: 9.058685e-01
0E5E5      //Pixel 695: 8.980255e-01
0E2E2      //Pixel 696: 8.862610e-01
0E1E1      //Pixel 697: 8.823395e-01
0E0E0      //Pixel 698: 8.784180e-01
0DFDF      //Pixel 699: 8.744965e-01
0DDDD      //Pixel 700: 8.666534e-01
0DBDB      //Pixel 701: 8.588104e-01
0D9D9      //Pixel 702: 8.509674e-01
0D8D8      //Pixel 703: 8.470459e-01
0D2D2      //Pixel 704: 8.235168e-01
0D3D3      //Pixel 705: 8.274384e-01
0D4D4      //Pixel 706: 8.313599e-01
0D5D5      //Pixel 707: 8.352814e-01
0D7D7      //Pixel 708: 8.431244e-01
0DEDE      //Pixel 709: 8.705750e-01
0E0E0      //Pixel 710: 8.784180e-01
0E1E1      //Pixel 711: 8.823395e-01
0E5E5      //Pixel 712: 8.980255e-01
0E6E6      //Pixel 713: 9.019470e-01
0E7E7      //Pixel 714: 9.058685e-01
0E8E8      //Pixel 715: 9.097900e-01
0E9E9      //Pixel 716: 9.137115e-01
0EBEB      //Pixel 717: 9.215546e-01
0ECEC      //Pixel 718: 9.254761e-01
0EDED      //Pixel 719: 9.293976e-01
0EEEE      //Pixel 720: 9.333191e-01
0F0F0      //Pixel 721: 9.411621e-01
0F0F0      //Pixel 722: 9.411621e-01
0F0F0      //Pixel 723: 9.411621e-01
0F1F1      //Pixel 724: 9.450836e-01
0F2F2      //Pixel 725: 9.490051e-01
0F3F3      //Pixel 726: 9.529266e-01
0F4F4      //Pixel 727: 9.568481e-01
0F5F5      //Pixel 728: 9.607697e-01
0F5F5      //Pixel 729: 9.607697e-01
0F5F5      //Pixel 730: 9.607697e-01
0F4F4      //Pixel 731: 9.568481e-01
0A6A6      //Pixel 732: 6.509705e-01
07F7F      //Pixel 733: 4.980316e-01
07C7C      //Pixel 734: 4.862671e-01
0BEBE      //Pixel 735: 7.450867e-01
0F5F5      //Pixel 736: 9.607697e-01
0BBBB      //Pixel 737: 7.333221e-01
06A6A      //Pixel 738: 4.156799e-01
08686      //Pixel 739: 5.254822e-01
07B7B      //Pixel 740: 4.823456e-01
0AAAA      //Pixel 741: 6.666565e-01
0F5F5      //Pixel 742: 9.607697e-01
0F5F5      //Pixel 743: 9.607697e-01
0F4F4      //Pixel 744: 9.568481e-01
0F4F4      //Pixel 745: 9.568481e-01
0B6B6      //Pixel 746: 7.137146e-01
07878      //Pixel 747: 4.705811e-01
08686      //Pixel 748: 5.254822e-01
06E6E      //Pixel 749: 4.313660e-01
0B6B6      //Pixel 750: 7.137146e-01
0F0F0      //Pixel 751: 9.411621e-01
0EDED      //Pixel 752: 9.293976e-01
0EEEE      //Pixel 753: 9.333191e-01
0ECEC      //Pixel 754: 9.254761e-01
0EBEB      //Pixel 755: 9.215546e-01
0EAEA      //Pixel 756: 9.176331e-01
0E8E8      //Pixel 757: 9.097900e-01
0E7E7      //Pixel 758: 9.058685e-01
0E6E6      //Pixel 759: 9.019470e-01
0E2E2      //Pixel 760: 8.862610e-01
0E2E2      //Pixel 761: 8.862610e-01
0E1E1      //Pixel 762: 8.823395e-01
0DFDF      //Pixel 763: 8.744965e-01
0DEDE      //Pixel 764: 8.705750e-01
0DBDB      //Pixel 765: 8.588104e-01
0D9D9      //Pixel 766: 8.509674e-01
0D8D8      //Pixel 767: 8.470459e-01
0D2D2      //Pixel 768: 8.235168e-01
0D3D3      //Pixel 769: 8.274384e-01
0D4D4      //Pixel 770: 8.313599e-01
0D5D5      //Pixel 771: 8.352814e-01
0D8D8      //Pixel 772: 8.470459e-01
0DFDF      //Pixel 773: 8.744965e-01
0E0E0      //Pixel 774: 8.784180e-01
0E1E1      //Pixel 775: 8.823395e-01
0E4E4      //Pixel 776: 8.941040e-01
0E5E5      //Pixel 777: 8.980255e-01
0E7E7      //Pixel 778: 9.058685e-01
0E9E9      //Pixel 779: 9.137115e-01
0EAEA      //Pixel 780: 9.176331e-01
0EBEB      //Pixel 781: 9.215546e-01
0ECEC      //Pixel 782: 9.254761e-01
0EDED      //Pixel 783: 9.293976e-01
0EFEF      //Pixel 784: 9.372406e-01
0F0F0      //Pixel 785: 9.411621e-01
0F0F0      //Pixel 786: 9.411621e-01
0F0F0      //Pixel 787: 9.411621e-01
0F2F2      //Pixel 788: 9.490051e-01
0F2F2      //Pixel 789: 9.490051e-01
0F4F4      //Pixel 790: 9.568481e-01
0F4F4      //Pixel 791: 9.568481e-01
0F4F4      //Pixel 792: 9.568481e-01
0F5F5      //Pixel 793: 9.607697e-01
0F6F6      //Pixel 794: 9.646912e-01
0EFEF      //Pixel 795: 9.372406e-01
08787      //Pixel 796: 5.294037e-01
07A7A      //Pixel 797: 4.784241e-01
07575      //Pixel 798: 4.588165e-01
0ACAC      //Pixel 799: 6.744995e-01
0F2F2      //Pixel 800: 9.490051e-01
0C8C8      //Pixel 801: 7.843018e-01
06868      //Pixel 802: 4.078369e-01
07B7B      //Pixel 803: 4.823456e-01
07D7D      //Pixel 804: 4.901886e-01
09696      //Pixel 805: 5.882263e-01
0F0F0      //Pixel 806: 9.411621e-01
0F5F5      //Pixel 807: 9.607697e-01
0F4F4      //Pixel 808: 9.568481e-01
0F5F5      //Pixel 809: 9.607697e-01
0B2B2      //Pixel 810: 6.980286e-01
06E6E      //Pixel 811: 4.313660e-01
07F7F      //Pixel 812: 4.980316e-01
06C6C      //Pixel 813: 4.235229e-01
0B2B2      //Pixel 814: 6.980286e-01
0F0F0      //Pixel 815: 9.411621e-01
0EDED      //Pixel 816: 9.293976e-01
0EEEE      //Pixel 817: 9.333191e-01
0ECEC      //Pixel 818: 9.254761e-01
0EAEA      //Pixel 819: 9.176331e-01
0E8E8      //Pixel 820: 9.097900e-01
0E8E8      //Pixel 821: 9.097900e-01
0E7E7      //Pixel 822: 9.058685e-01
0E5E5      //Pixel 823: 8.980255e-01
0E3E3      //Pixel 824: 8.901825e-01
0E3E3      //Pixel 825: 8.901825e-01
0E1E1      //Pixel 826: 8.823395e-01
0E0E0      //Pixel 827: 8.784180e-01
0DFDF      //Pixel 828: 8.744965e-01
0DBDB      //Pixel 829: 8.588104e-01
0D9D9      //Pixel 830: 8.509674e-01
0D8D8      //Pixel 831: 8.470459e-01
0D2D2      //Pixel 832: 8.235168e-01
0D4D4      //Pixel 833: 8.313599e-01
0D4D4      //Pixel 834: 8.313599e-01
0D5D5      //Pixel 835: 8.352814e-01
0D9D9      //Pixel 836: 8.509674e-01
0DFDF      //Pixel 837: 8.744965e-01
0E1E1      //Pixel 838: 8.823395e-01
0E2E2      //Pixel 839: 8.862610e-01
0E5E5      //Pixel 840: 8.980255e-01
0E6E6      //Pixel 841: 9.019470e-01
0E8E8      //Pixel 842: 9.097900e-01
0EAEA      //Pixel 843: 9.176331e-01
0EBEB      //Pixel 844: 9.215546e-01
0ECEC      //Pixel 845: 9.254761e-01
0EEEE      //Pixel 846: 9.333191e-01
0EFEF      //Pixel 847: 9.372406e-01
0EFEF      //Pixel 848: 9.372406e-01
0F0F0      //Pixel 849: 9.411621e-01
0F0F0      //Pixel 850: 9.411621e-01
0F0F0      //Pixel 851: 9.411621e-01
0F2F2      //Pixel 852: 9.490051e-01
0F3F3      //Pixel 853: 9.529266e-01
0F4F4      //Pixel 854: 9.568481e-01
0F4F4      //Pixel 855: 9.568481e-01
0F5F5      //Pixel 856: 9.607697e-01
0F5F5      //Pixel 857: 9.607697e-01
0F6F6      //Pixel 858: 9.646912e-01
0EEEE      //Pixel 859: 9.333191e-01
08484      //Pixel 860: 5.176392e-01
06F6F      //Pixel 861: 4.352875e-01
06F6F      //Pixel 862: 4.352875e-01
0A3A3      //Pixel 863: 6.392059e-01
0EFEF      //Pixel 864: 9.372406e-01
0D4D4      //Pixel 865: 8.313599e-01
07676      //Pixel 866: 4.627380e-01
08484      //Pixel 867: 5.176392e-01
08C8C      //Pixel 868: 5.490112e-01
08E8E      //Pixel 869: 5.568542e-01
0EAEA      //Pixel 870: 9.176331e-01
0F5F5      //Pixel 871: 9.607697e-01
0F4F4      //Pixel 872: 9.568481e-01
0F3F3      //Pixel 873: 9.529266e-01
0B1B1      //Pixel 874: 6.941071e-01
07878      //Pixel 875: 4.705811e-01
08585      //Pixel 876: 5.215607e-01
06E6E      //Pixel 877: 4.313660e-01
0B0B0      //Pixel 878: 6.901855e-01
0EFEF      //Pixel 879: 9.372406e-01
0EEEE      //Pixel 880: 9.333191e-01
0EDED      //Pixel 881: 9.293976e-01
0EDED      //Pixel 882: 9.293976e-01
0EAEA      //Pixel 883: 9.176331e-01
0E9E9      //Pixel 884: 9.137115e-01
0E8E8      //Pixel 885: 9.097900e-01
0E7E7      //Pixel 886: 9.058685e-01
0E5E5      //Pixel 887: 8.980255e-01
0E4E4      //Pixel 888: 8.941040e-01
0E3E3      //Pixel 889: 8.901825e-01
0E2E2      //Pixel 890: 8.862610e-01
0E0E0      //Pixel 891: 8.784180e-01
0DFDF      //Pixel 892: 8.744965e-01
0DCDC      //Pixel 893: 8.627319e-01
0DADA      //Pixel 894: 8.548889e-01
0D9D9      //Pixel 895: 8.509674e-01
0D2D2      //Pixel 896: 8.235168e-01
0D4D4      //Pixel 897: 8.313599e-01
0D4D4      //Pixel 898: 8.313599e-01
0D5D5      //Pixel 899: 8.352814e-01
0D9D9      //Pixel 900: 8.509674e-01
0E0E0      //Pixel 901: 8.784180e-01
0E2E2      //Pixel 902: 8.862610e-01
0E3E3      //Pixel 903: 8.901825e-01
0E5E5      //Pixel 904: 8.980255e-01
0E7E7      //Pixel 905: 9.058685e-01
0E8E8      //Pixel 906: 9.097900e-01
0EAEA      //Pixel 907: 9.176331e-01
0EBEB      //Pixel 908: 9.215546e-01
0ECEC      //Pixel 909: 9.254761e-01
0EEEE      //Pixel 910: 9.333191e-01
0EFEF      //Pixel 911: 9.372406e-01
0EFEF      //Pixel 912: 9.372406e-01
0F0F0      //Pixel 913: 9.411621e-01
0F0F0      //Pixel 914: 9.411621e-01
0F1F1      //Pixel 915: 9.450836e-01
0F2F2      //Pixel 916: 9.490051e-01
0F3F3      //Pixel 917: 9.529266e-01
0F4F4      //Pixel 918: 9.568481e-01
0F4F4      //Pixel 919: 9.568481e-01
0F5F5      //Pixel 920: 9.607697e-01
0F5F5      //Pixel 921: 9.607697e-01
0F6F6      //Pixel 922: 9.646912e-01
0F2F2      //Pixel 923: 9.490051e-01
09696      //Pixel 924: 5.882263e-01
06F6F      //Pixel 925: 4.352875e-01
07676      //Pixel 926: 4.627380e-01
09C9C      //Pixel 927: 6.117554e-01
0EBEB      //Pixel 928: 9.215546e-01
0DDDD      //Pixel 929: 8.666534e-01
08484      //Pixel 930: 5.176392e-01
08484      //Pixel 931: 5.176392e-01
08D8D      //Pixel 932: 5.529327e-01
08C8C      //Pixel 933: 5.490112e-01
0E0E0      //Pixel 934: 8.784180e-01
0F4F4      //Pixel 935: 9.568481e-01
0F5F5      //Pixel 936: 9.607697e-01
0F5F5      //Pixel 937: 9.607697e-01
0B2B2      //Pixel 938: 6.980286e-01
08080      //Pixel 939: 5.019531e-01
08B8B      //Pixel 940: 5.450897e-01
07B7B      //Pixel 941: 4.823456e-01
0AEAE      //Pixel 942: 6.823425e-01
0EFEF      //Pixel 943: 9.372406e-01
0EFEF      //Pixel 944: 9.372406e-01
0EDED      //Pixel 945: 9.293976e-01
0EDED      //Pixel 946: 9.293976e-01
0ECEC      //Pixel 947: 9.254761e-01
0E9E9      //Pixel 948: 9.137115e-01
0E8E8      //Pixel 949: 9.097900e-01
0E8E8      //Pixel 950: 9.097900e-01
0E7E7      //Pixel 951: 9.058685e-01
0E4E4      //Pixel 952: 8.941040e-01
0E4E4      //Pixel 953: 8.941040e-01
0E2E2      //Pixel 954: 8.862610e-01
0E1E1      //Pixel 955: 8.823395e-01
0DFDF      //Pixel 956: 8.744965e-01
0DDDD      //Pixel 957: 8.666534e-01
0DBDB      //Pixel 958: 8.588104e-01
0D9D9      //Pixel 959: 8.509674e-01
0D3D3      //Pixel 960: 8.274384e-01
0D4D4      //Pixel 961: 8.313599e-01
0D5D5      //Pixel 962: 8.352814e-01
0D5D5      //Pixel 963: 8.352814e-01
0D9D9      //Pixel 964: 8.509674e-01
0E0E0      //Pixel 965: 8.784180e-01
0E2E2      //Pixel 966: 8.862610e-01
0E3E3      //Pixel 967: 8.901825e-01
0E6E6      //Pixel 968: 9.019470e-01
0E7E7      //Pixel 969: 9.058685e-01
0E8E8      //Pixel 970: 9.097900e-01
0EAEA      //Pixel 971: 9.176331e-01
0EBEB      //Pixel 972: 9.215546e-01
0EDED      //Pixel 973: 9.293976e-01
0EEEE      //Pixel 974: 9.333191e-01
0EFEF      //Pixel 975: 9.372406e-01
0EFEF      //Pixel 976: 9.372406e-01
0F1F1      //Pixel 977: 9.450836e-01
0F2F2      //Pixel 978: 9.490051e-01
0F2F2      //Pixel 979: 9.490051e-01
0F2F2      //Pixel 980: 9.490051e-01
0F3F3      //Pixel 981: 9.529266e-01
0F4F4      //Pixel 982: 9.568481e-01
0F4F4      //Pixel 983: 9.568481e-01
0F5F5      //Pixel 984: 9.607697e-01
0F6F6      //Pixel 985: 9.646912e-01
0F5F5      //Pixel 986: 9.607697e-01
0F5F5      //Pixel 987: 9.607697e-01
0ACAC      //Pixel 988: 6.744995e-01
06F6F      //Pixel 989: 4.352875e-01
08080      //Pixel 990: 5.019531e-01
09090      //Pixel 991: 5.646973e-01
0E4E4      //Pixel 992: 8.941040e-01
0E2E2      //Pixel 993: 8.862610e-01
08D8D      //Pixel 994: 5.529327e-01
08383      //Pixel 995: 5.137177e-01
08B8B      //Pixel 996: 5.450897e-01
08888      //Pixel 997: 5.333252e-01
0CFCF      //Pixel 998: 8.117523e-01
0F4F4      //Pixel 999: 9.568481e-01
0F4F4      //Pixel 1000: 9.568481e-01
0F4F4      //Pixel 1001: 9.568481e-01
0AEAE      //Pixel 1002: 6.823425e-01
08585      //Pixel 1003: 5.215607e-01
08E8E      //Pixel 1004: 5.568542e-01
08080      //Pixel 1005: 5.019531e-01
0AAAA      //Pixel 1006: 6.666565e-01
0EFEF      //Pixel 1007: 9.372406e-01
0EFEF      //Pixel 1008: 9.372406e-01
0EEEE      //Pixel 1009: 9.333191e-01
0EDED      //Pixel 1010: 9.293976e-01
0ECEC      //Pixel 1011: 9.254761e-01
0EAEA      //Pixel 1012: 9.176331e-01
0E8E8      //Pixel 1013: 9.097900e-01
0E8E8      //Pixel 1014: 9.097900e-01
0E7E7      //Pixel 1015: 9.058685e-01
0E6E6      //Pixel 1016: 9.019470e-01
0E4E4      //Pixel 1017: 8.941040e-01
0E2E2      //Pixel 1018: 8.862610e-01
0E1E1      //Pixel 1019: 8.823395e-01
0E0E0      //Pixel 1020: 8.784180e-01
0DEDE      //Pixel 1021: 8.705750e-01
0DCDC      //Pixel 1022: 8.627319e-01
0DBDB      //Pixel 1023: 8.588104e-01
0D3D3      //Pixel 1024: 8.274384e-01
0D4D4      //Pixel 1025: 8.313599e-01
0D6D6      //Pixel 1026: 8.392029e-01
0D6D6      //Pixel 1027: 8.392029e-01
0D8D8      //Pixel 1028: 8.470459e-01
0E0E0      //Pixel 1029: 8.784180e-01
0E2E2      //Pixel 1030: 8.862610e-01
0E4E4      //Pixel 1031: 8.941040e-01
0E7E7      //Pixel 1032: 9.058685e-01
0E7E7      //Pixel 1033: 9.058685e-01
0E8E8      //Pixel 1034: 9.097900e-01
0EAEA      //Pixel 1035: 9.176331e-01
0ECEC      //Pixel 1036: 9.254761e-01
0EDED      //Pixel 1037: 9.293976e-01
0EFEF      //Pixel 1038: 9.372406e-01
0F0F0      //Pixel 1039: 9.411621e-01
0F0F0      //Pixel 1040: 9.411621e-01
0F0F0      //Pixel 1041: 9.411621e-01
0F1F1      //Pixel 1042: 9.450836e-01
0F3F3      //Pixel 1043: 9.529266e-01
0F4F4      //Pixel 1044: 9.568481e-01
0F5F5      //Pixel 1045: 9.607697e-01
0F4F4      //Pixel 1046: 9.568481e-01
0F4F4      //Pixel 1047: 9.568481e-01
0F6F6      //Pixel 1048: 9.646912e-01
0F6F6      //Pixel 1049: 9.646912e-01
0F6F6      //Pixel 1050: 9.646912e-01
0F6F6      //Pixel 1051: 9.646912e-01
0B9B9      //Pixel 1052: 7.254791e-01
07272      //Pixel 1053: 4.470520e-01
08585      //Pixel 1054: 5.215607e-01
08585      //Pixel 1055: 5.215607e-01
0D9D9      //Pixel 1056: 8.509674e-01
0E7E7      //Pixel 1057: 9.058685e-01
09494      //Pixel 1058: 5.803833e-01
08383      //Pixel 1059: 5.137177e-01
08D8D      //Pixel 1060: 5.529327e-01
08787      //Pixel 1061: 5.294037e-01
0BABA      //Pixel 1062: 7.294006e-01
0F2F2      //Pixel 1063: 9.490051e-01
0F2F2      //Pixel 1064: 9.490051e-01
0F1F1      //Pixel 1065: 9.450836e-01
0A9A9      //Pixel 1066: 6.627350e-01
08888      //Pixel 1067: 5.333252e-01
09090      //Pixel 1068: 5.646973e-01
08383      //Pixel 1069: 5.137177e-01
0A4A4      //Pixel 1070: 6.431274e-01
0EEEE      //Pixel 1071: 9.333191e-01
0EEEE      //Pixel 1072: 9.333191e-01
0EEEE      //Pixel 1073: 9.333191e-01
0EDED      //Pixel 1074: 9.293976e-01
0ECEC      //Pixel 1075: 9.254761e-01
0EAEA      //Pixel 1076: 9.176331e-01
0E9E9      //Pixel 1077: 9.137115e-01
0E9E9      //Pixel 1078: 9.137115e-01
0E7E7      //Pixel 1079: 9.058685e-01
0E6E6      //Pixel 1080: 9.019470e-01
0E4E4      //Pixel 1081: 8.941040e-01
0E3E3      //Pixel 1082: 8.901825e-01
0E1E1      //Pixel 1083: 8.823395e-01
0E0E0      //Pixel 1084: 8.784180e-01
0DEDE      //Pixel 1085: 8.705750e-01
0DCDC      //Pixel 1086: 8.627319e-01
0DADA      //Pixel 1087: 8.548889e-01
0D3D3      //Pixel 1088: 8.274384e-01
0D4D4      //Pixel 1089: 8.313599e-01
0D5D5      //Pixel 1090: 8.352814e-01
0D5D5      //Pixel 1091: 8.352814e-01
0D9D9      //Pixel 1092: 8.509674e-01
0E0E0      //Pixel 1093: 8.784180e-01
0E2E2      //Pixel 1094: 8.862610e-01
0E4E4      //Pixel 1095: 8.941040e-01
0E7E7      //Pixel 1096: 9.058685e-01
0E8E8      //Pixel 1097: 9.097900e-01
0E9E9      //Pixel 1098: 9.137115e-01
0EAEA      //Pixel 1099: 9.176331e-01
0ECEC      //Pixel 1100: 9.254761e-01
0EDED      //Pixel 1101: 9.293976e-01
0EEEE      //Pixel 1102: 9.333191e-01
0EFEF      //Pixel 1103: 9.372406e-01
0F0F0      //Pixel 1104: 9.411621e-01
0F1F1      //Pixel 1105: 9.450836e-01
0F3F3      //Pixel 1106: 9.529266e-01
0F3F3      //Pixel 1107: 9.529266e-01
0F4F4      //Pixel 1108: 9.568481e-01
0F5F5      //Pixel 1109: 9.607697e-01
0F6F6      //Pixel 1110: 9.646912e-01
0F6F6      //Pixel 1111: 9.646912e-01
0F7F7      //Pixel 1112: 9.686127e-01
0F6F6      //Pixel 1113: 9.646912e-01
0F7F7      //Pixel 1114: 9.686127e-01
0F7F7      //Pixel 1115: 9.686127e-01
0C5C5      //Pixel 1116: 7.725372e-01
07070      //Pixel 1117: 4.392090e-01
08585      //Pixel 1118: 5.215607e-01
07C7C      //Pixel 1119: 4.862671e-01
0CBCB      //Pixel 1120: 7.960663e-01
0ECEC      //Pixel 1121: 9.254761e-01
09A9A      //Pixel 1122: 6.039124e-01
08383      //Pixel 1123: 5.137177e-01
08F8F      //Pixel 1124: 5.607758e-01
08B8B      //Pixel 1125: 5.450897e-01
0A5A5      //Pixel 1126: 6.470490e-01
0EEEE      //Pixel 1127: 9.333191e-01
0F3F3      //Pixel 1128: 9.529266e-01
0F1F1      //Pixel 1129: 9.450836e-01
0A1A1      //Pixel 1130: 6.313629e-01
08787      //Pixel 1131: 5.294037e-01
08E8E      //Pixel 1132: 5.568542e-01
08484      //Pixel 1133: 5.176392e-01
09A9A      //Pixel 1134: 6.039124e-01
0EBEB      //Pixel 1135: 9.215546e-01
0EFEF      //Pixel 1136: 9.372406e-01
0EFEF      //Pixel 1137: 9.372406e-01
0EDED      //Pixel 1138: 9.293976e-01
0EBEB      //Pixel 1139: 9.215546e-01
0EBEB      //Pixel 1140: 9.215546e-01
0EAEA      //Pixel 1141: 9.176331e-01
0E8E8      //Pixel 1142: 9.097900e-01
0E7E7      //Pixel 1143: 9.058685e-01
0E5E5      //Pixel 1144: 8.980255e-01
0E4E4      //Pixel 1145: 8.941040e-01
0E3E3      //Pixel 1146: 8.901825e-01
0E1E1      //Pixel 1147: 8.823395e-01
0E0E0      //Pixel 1148: 8.784180e-01
0DEDE      //Pixel 1149: 8.705750e-01
0DCDC      //Pixel 1150: 8.627319e-01
0DBDB      //Pixel 1151: 8.588104e-01
0D4D4      //Pixel 1152: 8.313599e-01
0D5D5      //Pixel 1153: 8.352814e-01
0D5D5      //Pixel 1154: 8.352814e-01
0D6D6      //Pixel 1155: 8.392029e-01
0DADA      //Pixel 1156: 8.548889e-01
0E0E0      //Pixel 1157: 8.784180e-01
0E2E2      //Pixel 1158: 8.862610e-01
0E5E5      //Pixel 1159: 8.980255e-01
0E7E7      //Pixel 1160: 9.058685e-01
0E8E8      //Pixel 1161: 9.097900e-01
0E9E9      //Pixel 1162: 9.137115e-01
0EAEA      //Pixel 1163: 9.176331e-01
0ECEC      //Pixel 1164: 9.254761e-01
0EDED      //Pixel 1165: 9.293976e-01
0EEEE      //Pixel 1166: 9.333191e-01
0EFEF      //Pixel 1167: 9.372406e-01
0EFEF      //Pixel 1168: 9.372406e-01
0F1F1      //Pixel 1169: 9.450836e-01
0F3F3      //Pixel 1170: 9.529266e-01
0F4F4      //Pixel 1171: 9.568481e-01
0F4F4      //Pixel 1172: 9.568481e-01
0F5F5      //Pixel 1173: 9.607697e-01
0F6F6      //Pixel 1174: 9.646912e-01
0F7F7      //Pixel 1175: 9.686127e-01
0F7F7      //Pixel 1176: 9.686127e-01
0F7F7      //Pixel 1177: 9.686127e-01
0F7F7      //Pixel 1178: 9.686127e-01
0F6F6      //Pixel 1179: 9.646912e-01
0CECE      //Pixel 1180: 8.078308e-01
07272      //Pixel 1181: 4.470520e-01
07D7D      //Pixel 1182: 4.901886e-01
07979      //Pixel 1183: 4.745026e-01
0BDBD      //Pixel 1184: 7.411652e-01
0EDED      //Pixel 1185: 9.293976e-01
0A1A1      //Pixel 1186: 6.313629e-01
08181      //Pixel 1187: 5.058746e-01
08B8B      //Pixel 1188: 5.450897e-01
08C8C      //Pixel 1189: 5.490112e-01
09494      //Pixel 1190: 5.803833e-01
0E6E6      //Pixel 1191: 9.019470e-01
0F3F3      //Pixel 1192: 9.529266e-01
0EDED      //Pixel 1193: 9.293976e-01
09393      //Pixel 1194: 5.764618e-01
07F7F      //Pixel 1195: 4.980316e-01
08989      //Pixel 1196: 5.372467e-01
08585      //Pixel 1197: 5.215607e-01
09393      //Pixel 1198: 5.764618e-01
0E9E9      //Pixel 1199: 9.137115e-01
0EEEE      //Pixel 1200: 9.333191e-01
0EFEF      //Pixel 1201: 9.372406e-01
0ECEC      //Pixel 1202: 9.254761e-01
0EBEB      //Pixel 1203: 9.215546e-01
0EBEB      //Pixel 1204: 9.215546e-01
0EAEA      //Pixel 1205: 9.176331e-01
0E8E8      //Pixel 1206: 9.097900e-01
0E7E7      //Pixel 1207: 9.058685e-01
0E5E5      //Pixel 1208: 8.980255e-01
0E4E4      //Pixel 1209: 8.941040e-01
0E3E3      //Pixel 1210: 8.901825e-01
0E1E1      //Pixel 1211: 8.823395e-01
0E0E0      //Pixel 1212: 8.784180e-01
0DEDE      //Pixel 1213: 8.705750e-01
0DDDD      //Pixel 1214: 8.666534e-01
0DBDB      //Pixel 1215: 8.588104e-01
0D3D3      //Pixel 1216: 8.274384e-01
0D4D4      //Pixel 1217: 8.313599e-01
